Date Time,rolling_avg_avg_1_days,rolling_med_avg_1_days,rolling_avg_med_1_days,rolling_med_med_1_days,rolling_avg_avg_2_days,rolling_med_avg_2_days,rolling_avg_med_2_days,rolling_med_med_2_days,rolling_avg_avg_3_days,rolling_med_avg_3_days,rolling_avg_med_3_days,rolling_med_med_3_days,rolling_avg_avg_5_days,rolling_med_avg_5_days,rolling_avg_med_5_days,rolling_med_med_5_days,rolling_avg_avg_7_days,rolling_med_avg_7_days,rolling_avg_med_7_days,rolling_med_med_7_days,rolling_avg_avg_10_days,rolling_med_avg_10_days,rolling_avg_med_10_days,rolling_med_med_10_days,rolling_avg_avg_14_days,rolling_med_avg_14_days,rolling_avg_med_14_days,rolling_med_med_14_days,rolling_avg_avg_21_days,rolling_med_avg_21_days,rolling_avg_med_21_days,rolling_med_med_21_days,rolling_avg_avg_30_days,rolling_med_avg_30_days,rolling_avg_med_30_days,rolling_med_med_30_days
11/30/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/3/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/20/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/13/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/14/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/17/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
